formula,mass,charge,description,chemical_class,alucone_relevance
C2H5O5Al3+,189.95776800000002,positive,Molecular ion,Al-organic_hybrid,High
C10OAl2-,189.958542,negative,Molecular anion,Al-organic_hybrid,High
[C10HOAl2-H]-,189.958542,negative,Deprotonated,Al-organic_hybrid,High
[C2H6O5Al3-H]-,189.958866,negative,Deprotonated,Al-organic_hybrid,High
C2H5O5Al3-,189.95886600000003,negative,Molecular anion,Al-organic_hybrid,High
[C4H6Al5+H]+,189.96192100000002,positive,Protonated,Al-organic_hybrid,High
C4H7Al5+,189.96192100000002,positive,Molecular ion,Al-organic_hybrid,High
[C4H8Al5-H]+,189.96192100000002,positive,Hydrogen loss,Al-organic_hybrid,High
C4H7Al5-,189.96301900000003,negative,Molecular anion,Al-organic_hybrid,High
[C4H8Al5-H]-,189.96301900000003,negative,Deprotonated,Al-organic_hybrid,High
[C3H3O6Al2+H]+,189.96331899999998,positive,Protonated,Al-organic_hybrid,High
C3H4O6Al2+,189.96331899999998,positive,Molecular ion,Al-organic_hybrid,High
[C3H5O6Al2-H]+,189.963319,positive,Hydrogen loss,Al-organic_hybrid,High
C3H4O6Al2-,189.964417,negative,Molecular anion,Al-organic_hybrid,High
[C3H5O6Al2-H]-,189.96441700000003,negative,Deprotonated,Al-organic_hybrid,High
[C5H5OAl4+H]+,189.967472,positive,Protonated,Al-organic_hybrid,High
C5H6OAl4+,189.96747200000001,positive,Molecular ion,Al-organic_hybrid,High
[C5H7OAl4-H]+,189.96747200000001,positive,Hydrogen loss,Al-organic_hybrid,High
C5H6OAl4-,189.96857000000003,negative,Molecular anion,Al-organic_hybrid,High
[C5H7OAl4-H]-,189.96857000000003,negative,Deprotonated,Al-organic_hybrid,High
[C4H2O7Al+H]+,189.96886999999998,positive,Protonated,Al-organic_hybrid,High
C4H3O7Al+,189.96886999999998,positive,Molecular ion,Al-organic_hybrid,High
[C4H4O7Al-H]+,189.96886999999998,positive,Hydrogen loss,Al-organic_hybrid,High
C4H3O7Al-,189.969968,negative,Molecular anion,Al-organic_hybrid,High
[C4H4O7Al-H]-,189.969968,negative,Deprotonated,Al-organic_hybrid,High
C6H5O2Al3+,189.97302299999998,positive,Molecular ion,Al-organic_hybrid,High
[C6H4O2Al3+H]+,189.973023,positive,Protonated,Al-organic_hybrid,High
[C6H6O2Al3-H]+,189.973023,positive,Hydrogen loss,Al-organic_hybrid,High
C6H5O2Al3-,189.974121,negative,Molecular anion,Al-organic_hybrid,High
[C6H6O2Al3-H]-,189.97412100000003,negative,Deprotonated,Al-organic_hybrid,High
[C7H3O3Al2+H]+,189.97857399999998,positive,Protonated,Al-organic_hybrid,High
[C7H5O3Al2-H]+,189.97857399999998,positive,Hydrogen loss,Al-organic_hybrid,High
C7H4O3Al2+,189.978574,positive,Molecular ion,Al-organic_hybrid,High
[C7H5O3Al2-H]-,189.979672,negative,Deprotonated,Al-organic_hybrid,High
C7H4O3Al2-,189.97967200000002,negative,Molecular anion,Al-organic_hybrid,High
[CH10O2Al5+H]+,189.98305100000002,positive,Protonated,Al-organic_hybrid,High
CH11O2Al5+,189.98305100000002,positive,Molecular ion,Al-organic_hybrid,High
[CH12O2Al5-H]+,189.98305100000002,positive,Hydrogen loss,Al-organic_hybrid,High
[C8H2O4Al+H]+,189.98412499999998,positive,Protonated,Al-organic_hybrid,High
C8H3O4Al+,189.984125,positive,Molecular ion,Al-organic_hybrid,High
[C8H4O4Al-H]+,189.984125,positive,Hydrogen loss,Al-organic_hybrid,High
CH11O2Al5-,189.98414900000003,negative,Molecular anion,Al-organic_hybrid,High
[CH12O2Al5-H]-,189.98414900000003,negative,Deprotonated,Al-organic_hybrid,High
[H7O8Al2+H]+,189.98444899999998,positive,Protonated,Aluminum_oxide,High
H8O8Al2+,189.98444899999998,positive,Molecular ion,Aluminum_oxide,High
[H9O8Al2-H]+,189.98444899999998,positive,Hydrogen loss,Aluminum_oxide,High
C8H3O4Al-,189.98522300000002,negative,Molecular anion,Al-organic_hybrid,High
[C8H4O4Al-H]-,189.98522300000002,negative,Deprotonated,Al-organic_hybrid,High
H8O8Al2-,189.985547,negative,Molecular anion,Aluminum_oxide,High
[H9O8Al2-H]-,189.985547,negative,Deprotonated,Aluminum_oxide,High
C2H10O3Al4+,189.988602,positive,Molecular ion,Al-organic_hybrid,High
[C2H9O3Al4+H]+,189.98860200000001,positive,Protonated,Al-organic_hybrid,High
[C2H11O3Al4-H]+,189.98860200000001,positive,Hydrogen loss,Al-organic_hybrid,High
C2H10O3Al4-,189.9897,negative,Molecular anion,Al-organic_hybrid,High
[C2H11O3Al4-H]-,189.98970000000003,negative,Deprotonated,Al-organic_hybrid,High
[CH6O9Al+H]+,189.99,positive,Protonated,Al-organic_hybrid,High
CH7O9Al+,189.99,positive,Molecular ion,Al-organic_hybrid,High
[CH8O9Al-H]+,189.99,positive,Hydrogen loss,Al-organic_hybrid,High
CH7O9Al-,189.99109800000002,negative,Molecular anion,Al-organic_hybrid,High
[CH8O9Al-H]-,189.99109800000002,negative,Deprotonated,Al-organic_hybrid,High
[C11H3Al2+H]+,189.99382899999998,positive,Protonated,Al-organic_hybrid,High
C11H4Al2+,189.99382899999998,positive,Molecular ion,Al-organic_hybrid,High
[C11H5Al2-H]+,189.993829,positive,Hydrogen loss,Al-organic_hybrid,High
[C3H8O4Al3+H]+,189.99415299999998,positive,Protonated,Al-organic_hybrid,High
[C3H10O4Al3-H]+,189.99415299999998,positive,Hydrogen loss,Al-organic_hybrid,High
C3H9O4Al3+,189.994153,positive,Molecular ion,Al-organic_hybrid,High
C11H4Al2-,189.994927,negative,Molecular anion,Al-organic_hybrid,High
[C11H5Al2-H]-,189.99492700000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H10O4Al3-H]-,189.995251,negative,Deprotonated,Al-organic_hybrid,High
C3H9O4Al3-,189.99525100000002,negative,Molecular anion,Al-organic_hybrid,High
[C12H2OAl+H]+,189.99937999999997,positive,Protonated,Al-organic_hybrid,High
C12H3OAl+,189.99937999999997,positive,Molecular ion,Al-organic_hybrid,High
[C12H4OAl-H]+,189.99937999999997,positive,Hydrogen loss,Al-organic_hybrid,High
[C4H7O5Al2+H]+,189.99970399999998,positive,Protonated,Al-organic_hybrid,High
C4H8O5Al2+,189.99970399999998,positive,Molecular ion,Al-organic_hybrid,High
[C4H9O5Al2-H]+,189.999704,positive,Hydrogen loss,Al-organic_hybrid,High
C12H3OAl-,190.000478,negative,Molecular anion,Al-organic_hybrid,High
[C12H4OAl-H]-,190.000478,negative,Deprotonated,Al-organic_hybrid,High
C4H8O5Al2-,190.000802,negative,Molecular anion,Al-organic_hybrid,High
[C4H9O5Al2-H]-,190.00080200000002,negative,Deprotonated,Al-organic_hybrid,High
[C6H9Al4+H]+,190.00385699999998,positive,Protonated,Al-organic_hybrid,High
[C6H11Al4-H]+,190.00385699999998,positive,Hydrogen loss,Al-organic_hybrid,High
C6H10Al4+,190.003857,positive,Molecular ion,Al-organic_hybrid,High
[C6H11Al4-H]-,190.004955,negative,Deprotonated,Al-organic_hybrid,High
C6H10Al4-,190.00495500000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H6O6Al+H]+,190.00525499999998,positive,Protonated,Al-organic_hybrid,High
C5H7O6Al+,190.005255,positive,Molecular ion,Al-organic_hybrid,High
[C5H8O6Al-H]+,190.005255,positive,Hydrogen loss,Al-organic_hybrid,High
C5H7O6Al-,190.00635300000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H8O6Al-H]-,190.00635300000002,negative,Deprotonated,Al-organic_hybrid,High
[C7H8OAl3+H]+,190.009408,positive,Protonated,Al-organic_hybrid,High
C7H9OAl3+,190.009408,positive,Molecular ion,Al-organic_hybrid,High
[C7H10OAl3-H]+,190.009408,positive,Hydrogen loss,Al-organic_hybrid,High
C7H9OAl3-,190.01050600000002,negative,Molecular anion,Al-organic_hybrid,High
[C7H10OAl3-H]-,190.01050600000002,negative,Deprotonated,Al-organic_hybrid,High
[C8H7O2Al2+H]+,190.014959,positive,Protonated,Al-organic_hybrid,High
C8H8O2Al2+,190.014959,positive,Molecular ion,Al-organic_hybrid,High
[C8H9O2Al2-H]+,190.014959,positive,Hydrogen loss,Al-organic_hybrid,High
[H12O6Al3+H]+,190.015283,positive,Protonated,Aluminum_oxide,High
H13O6Al3+,190.015283,positive,Molecular ion,Aluminum_oxide,High
[H14O6Al3-H]+,190.015283,positive,Hydrogen loss,Aluminum_oxide,High
C8H8O2Al2-,190.01605700000002,negative,Molecular anion,Al-organic_hybrid,High
[C8H9O2Al2-H]-,190.01605700000002,negative,Deprotonated,Al-organic_hybrid,High
H13O6Al3-,190.01638100000002,negative,Molecular anion,Aluminum_oxide,High
[H14O6Al3-H]-,190.01638100000002,negative,Deprotonated,Aluminum_oxide,High
[C2H14OAl5+H]+,190.019436,positive,Protonated,Al-organic_hybrid,High
C2H15OAl5+,190.019436,positive,Molecular ion,Al-organic_hybrid,High
[C2H16OAl5-H]+,190.019436,positive,Hydrogen loss,Al-organic_hybrid,High
[C9H6O3Al+H]+,190.02051,positive,Protonated,Al-organic_hybrid,High
C9H7O3Al+,190.02051,positive,Molecular ion,Al-organic_hybrid,High
[C9H8O3Al-H]+,190.02051,positive,Hydrogen loss,Al-organic_hybrid,High
C2H15OAl5-,190.02053400000003,negative,Molecular anion,Al-organic_hybrid,High
[C2H16OAl5-H]-,190.02053400000003,negative,Deprotonated,Al-organic_hybrid,High
[CH11O7Al2+H]+,190.02083399999998,positive,Protonated,Al-organic_hybrid,High
CH12O7Al2+,190.02083399999998,positive,Molecular ion,Al-organic_hybrid,High
[CH13O7Al2-H]+,190.02083399999998,positive,Hydrogen loss,Al-organic_hybrid,High
C9H7O3Al-,190.02160800000001,negative,Molecular anion,Al-organic_hybrid,High
[C9H8O3Al-H]-,190.02160800000001,negative,Deprotonated,Al-organic_hybrid,High
CH12O7Al2-,190.021932,negative,Molecular anion,Al-organic_hybrid,High
[CH13O7Al2-H]-,190.021932,negative,Deprotonated,Al-organic_hybrid,High
C3H14O2Al4+,190.02498699999998,positive,Molecular ion,Al-organic_hybrid,High
[C3H13O2Al4+H]+,190.024987,positive,Protonated,Al-organic_hybrid,High
[C3H15O2Al4-H]+,190.024987,positive,Hydrogen loss,Al-organic_hybrid,High
C3H14O2Al4-,190.026085,negative,Molecular anion,Al-organic_hybrid,High
[C3H15O2Al4-H]-,190.02608500000002,negative,Deprotonated,Al-organic_hybrid,High
[C2H10O8Al+H]+,190.026385,positive,Protonated,Al-organic_hybrid,High
C2H11O8Al+,190.026385,positive,Molecular ion,Al-organic_hybrid,High
[C2H12O8Al-H]+,190.026385,positive,Hydrogen loss,Al-organic_hybrid,High
C2H11O8Al-,190.02748300000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H12O8Al-H]-,190.02748300000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H12O3Al3+H]+,190.03053799999998,positive,Protonated,Al-organic_hybrid,High
C4H13O3Al3+,190.030538,positive,Molecular ion,Al-organic_hybrid,High
[C4H14O3Al3-H]+,190.030538,positive,Hydrogen loss,Al-organic_hybrid,High
C4H13O3Al3-,190.03163600000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H14O3Al3-H]-,190.03163600000002,negative,Deprotonated,Al-organic_hybrid,High
[C13H6Al+H]+,190.035765,positive,Protonated,Al-organic_hybrid,High
C13H7Al+,190.035765,positive,Molecular ion,Al-organic_hybrid,High
[C13H8Al-H]+,190.035765,positive,Hydrogen loss,Al-organic_hybrid,High
[C5H11O4Al2+H]+,190.03608899999998,positive,Protonated,Al-organic_hybrid,High
C5H12O4Al2+,190.036089,positive,Molecular ion,Al-organic_hybrid,High
[C5H13O4Al2-H]+,190.036089,positive,Hydrogen loss,Al-organic_hybrid,High
C13H7Al-,190.036863,negative,Molecular anion,Al-organic_hybrid,High
[C13H8Al-H]-,190.036863,negative,Deprotonated,Al-organic_hybrid,High
C5H12O4Al2-,190.03718700000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H13O4Al2-H]-,190.03718700000002,negative,Deprotonated,Al-organic_hybrid,High
[C6H10O5Al+H]+,190.04163999999997,positive,Protonated,Al-organic_hybrid,High
C6H11O5Al+,190.04164,positive,Molecular ion,Al-organic_hybrid,High
[C6H12O5Al-H]+,190.04164,positive,Hydrogen loss,Al-organic_hybrid,High
C6H11O5Al-,190.042738,negative,Molecular anion,Al-organic_hybrid,High
[C6H12O5Al-H]-,190.042738,negative,Deprotonated,Al-organic_hybrid,High
[C8H12Al3+H]+,190.045793,positive,Protonated,Al-organic_hybrid,High
C8H13Al3+,190.045793,positive,Molecular ion,Al-organic_hybrid,High
[C8H14Al3-H]+,190.045793,positive,Hydrogen loss,Al-organic_hybrid,High
[H17O4Al4+H]+,190.04611699999998,positive,Protonated,Aluminum_oxide,High
H18O4Al4+,190.046117,positive,Molecular ion,Aluminum_oxide,High
[H19O4Al4-H]+,190.046117,positive,Hydrogen loss,Aluminum_oxide,High
C8H13Al3-,190.04689100000002,negative,Molecular anion,Al-organic_hybrid,High
[C8H14Al3-H]-,190.04689100000002,negative,Deprotonated,Al-organic_hybrid,High
H18O4Al4-,190.04721500000002,negative,Molecular anion,Aluminum_oxide,High
[H19O4Al4-H]-,190.04721500000002,negative,Deprotonated,Aluminum_oxide,High
[C9H11OAl2+H]+,190.05134399999997,positive,Protonated,Al-organic_hybrid,High
C9H12OAl2+,190.051344,positive,Molecular ion,Al-organic_hybrid,High
[C9H13OAl2-H]+,190.051344,positive,Hydrogen loss,Al-organic_hybrid,High
[CH16O5Al3+H]+,190.051668,positive,Protonated,Al-organic_hybrid,High
CH17O5Al3+,190.051668,positive,Molecular ion,Al-organic_hybrid,High
[CH18O5Al3-H]+,190.051668,positive,Hydrogen loss,Al-organic_hybrid,High
C9H12OAl2-,190.052442,negative,Molecular anion,Al-organic_hybrid,High
[C9H13OAl2-H]-,190.052442,negative,Deprotonated,Al-organic_hybrid,High
CH17O5Al3-,190.05276600000002,negative,Molecular anion,Al-organic_hybrid,High
[CH18O5Al3-H]-,190.05276600000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H18Al5+H]+,190.055821,positive,Protonated,Al-organic_hybrid,High
C3H19Al5+,190.055821,positive,Molecular ion,Al-organic_hybrid,High
[C3H20Al5-H]+,190.055821,positive,Hydrogen loss,Al-organic_hybrid,High
[C10H10O2Al+H]+,190.056895,positive,Protonated,Al-organic_hybrid,High
C10H11O2Al+,190.056895,positive,Molecular ion,Al-organic_hybrid,High
[C10H12O2Al-H]+,190.056895,positive,Hydrogen loss,Al-organic_hybrid,High
C3H19Al5-,190.05691900000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H20Al5-H]-,190.05691900000002,negative,Deprotonated,Al-organic_hybrid,High
[C2H15O6Al2+H]+,190.05721899999998,positive,Protonated,Al-organic_hybrid,High
C2H16O6Al2+,190.057219,positive,Molecular ion,Al-organic_hybrid,High
[C2H17O6Al2-H]+,190.057219,positive,Hydrogen loss,Al-organic_hybrid,High
C10H11O2Al-,190.057993,negative,Molecular anion,Al-organic_hybrid,High
[C10H12O2Al-H]-,190.057993,negative,Deprotonated,Al-organic_hybrid,High
C2H16O6Al2-,190.05831700000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H17O6Al2-H]-,190.05831700000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H17OAl4+H]+,190.061372,positive,Protonated,Al-organic_hybrid,High
C4H18OAl4+,190.061372,positive,Molecular ion,Al-organic_hybrid,High
[C4H19OAl4-H]+,190.061372,positive,Hydrogen loss,Al-organic_hybrid,High
C4H18OAl4-,190.06247000000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H19OAl4-H]-,190.06247000000002,negative,Deprotonated,Al-organic_hybrid,High
C3H15O7Al+,190.06276999999997,positive,Molecular ion,Al-organic_hybrid,High
[C3H14O7Al+H]+,190.06277,positive,Protonated,Al-organic_hybrid,High
[C3H16O7Al-H]+,190.06277,positive,Hydrogen loss,Al-organic_hybrid,High
C3H15O7Al-,190.06386799999999,negative,Molecular anion,Al-organic_hybrid,High
[C3H16O7Al-H]-,190.063868,negative,Deprotonated,Al-organic_hybrid,High
[C5H16O2Al3+H]+,190.066923,positive,Protonated,Al-organic_hybrid,High
C5H17O2Al3+,190.066923,positive,Molecular ion,Al-organic_hybrid,High
[C5H18O2Al3-H]+,190.066923,positive,Hydrogen loss,Al-organic_hybrid,High
C5H17O2Al3-,190.06802100000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H18O2Al3-H]-,190.06802100000002,negative,Deprotonated,Al-organic_hybrid,High
[C6H15O3Al2+H]+,190.072474,positive,Protonated,Al-organic_hybrid,High
C6H16O3Al2+,190.072474,positive,Molecular ion,Al-organic_hybrid,High
[C6H17O3Al2-H]+,190.072474,positive,Hydrogen loss,Al-organic_hybrid,High
C6H16O3Al2-,190.073572,negative,Molecular anion,Al-organic_hybrid,High
[C6H17O3Al2-H]-,190.073572,negative,Deprotonated,Al-organic_hybrid,High
[H22O2Al5+H]+,190.076951,positive,Protonated,Aluminum_oxide,High
H23O2Al5+,190.076951,positive,Molecular ion,Aluminum_oxide,High
[H24O2Al5-H]+,190.076951,positive,Hydrogen loss,Aluminum_oxide,High
[C7H14O4Al+H]+,190.078025,positive,Protonated,Al-organic_hybrid,High
C7H15O4Al+,190.078025,positive,Molecular ion,Al-organic_hybrid,High
[C7H16O4Al-H]+,190.078025,positive,Hydrogen loss,Al-organic_hybrid,High
H23O2Al5-,190.07804900000002,negative,Molecular anion,Aluminum_oxide,High
[H24O2Al5-H]-,190.07804900000002,negative,Deprotonated,Aluminum_oxide,High
C7H15O4Al-,190.079123,negative,Molecular anion,Al-organic_hybrid,High
[C7H16O4Al-H]-,190.079123,negative,Deprotonated,Al-organic_hybrid,High
[CH21O3Al4+H]+,190.08250199999998,positive,Protonated,Al-organic_hybrid,High
CH22O3Al4+,190.082502,positive,Molecular ion,Al-organic_hybrid,High
[CH23O3Al4-H]+,190.082502,positive,Hydrogen loss,Al-organic_hybrid,High
CH22O3Al4-,190.08360000000002,negative,Molecular anion,Al-organic_hybrid,High
[CH23O3Al4-H]-,190.08360000000002,negative,Deprotonated,Al-organic_hybrid,High
[H18O9Al+H]+,190.0839,positive,Protonated,Aluminum_oxide,High
H19O9Al+,190.0839,positive,Molecular ion,Aluminum_oxide,High
[H20O9Al-H]+,190.0839,positive,Hydrogen loss,Aluminum_oxide,High
H19O9Al-,190.084998,negative,Molecular anion,Aluminum_oxide,High
[H20O9Al-H]-,190.084998,negative,Deprotonated,Aluminum_oxide,High
[C10H15Al2+H]+,190.087729,positive,Protonated,Al-organic_hybrid,High
C10H16Al2+,190.087729,positive,Molecular ion,Al-organic_hybrid,High
[C10H17Al2-H]+,190.087729,positive,Hydrogen loss,Al-organic_hybrid,High
[C2H20O4Al3+H]+,190.088053,positive,Protonated,Al-organic_hybrid,High
C2H21O4Al3+,190.088053,positive,Molecular ion,Al-organic_hybrid,High
[C2H22O4Al3-H]+,190.088053,positive,Hydrogen loss,Al-organic_hybrid,High
C10H16Al2-,190.088827,negative,Molecular anion,Al-organic_hybrid,High
[C10H17Al2-H]-,190.088827,negative,Deprotonated,Al-organic_hybrid,High
C2H21O4Al3-,190.08915100000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H22O4Al3-H]-,190.08915100000002,negative,Deprotonated,Al-organic_hybrid,High
[C11H14OAl+H]+,190.09328,positive,Protonated,Al-organic_hybrid,High
C11H15OAl+,190.09328,positive,Molecular ion,Al-organic_hybrid,High
[C11H16OAl-H]+,190.09328,positive,Hydrogen loss,Al-organic_hybrid,High
[C3H19O5Al2+H]+,190.09360399999997,positive,Protonated,Al-organic_hybrid,High
C3H20O5Al2+,190.093604,positive,Molecular ion,Al-organic_hybrid,High
[C3H21O5Al2-H]+,190.093604,positive,Hydrogen loss,Al-organic_hybrid,High
C11H15OAl-,190.094378,negative,Molecular anion,Al-organic_hybrid,High
[C11H16OAl-H]-,190.094378,negative,Deprotonated,Al-organic_hybrid,High
C3H20O5Al2-,190.094702,negative,Molecular anion,Al-organic_hybrid,High
[C3H21O5Al2-H]-,190.094702,negative,Deprotonated,Al-organic_hybrid,High
[C5H21Al4+H]+,190.097757,positive,Protonated,Al-organic_hybrid,High
C5H22Al4+,190.097757,positive,Molecular ion,Al-organic_hybrid,High
[C5H23Al4-H]+,190.097757,positive,Hydrogen loss,Al-organic_hybrid,High
C5H22Al4-,190.09885500000001,negative,Molecular anion,Al-organic_hybrid,High
[C5H23Al4-H]-,190.09885500000001,negative,Deprotonated,Al-organic_hybrid,High
[C4H18O6Al+H]+,190.099155,positive,Protonated,Al-organic_hybrid,High
C4H19O6Al+,190.099155,positive,Molecular ion,Al-organic_hybrid,High
[C4H20O6Al-H]+,190.099155,positive,Hydrogen loss,Al-organic_hybrid,High
C4H19O6Al-,190.100253,negative,Molecular anion,Al-organic_hybrid,High
[C4H20O6Al-H]-,190.100253,negative,Deprotonated,Al-organic_hybrid,High
[C6H20OAl3+H]+,190.103308,positive,Protonated,Al-organic_hybrid,High
C6H21OAl3+,190.103308,positive,Molecular ion,Al-organic_hybrid,High
[C6H22OAl3-H]+,190.10330800000003,positive,Hydrogen loss,Al-organic_hybrid,High
C6H21OAl3-,190.104406,negative,Molecular anion,Al-organic_hybrid,High
[C6H22OAl3-H]-,190.10440600000004,negative,Deprotonated,Al-organic_hybrid,High
[C7H19O2Al2+H]+,190.108859,positive,Protonated,Al-organic_hybrid,High
C7H20O2Al2+,190.108859,positive,Molecular ion,Al-organic_hybrid,High
[C7H21O2Al2-H]+,190.108859,positive,Hydrogen loss,Al-organic_hybrid,High
C7H20O2Al2-,190.109957,negative,Molecular anion,Al-organic_hybrid,High
[C7H21O2Al2-H]-,190.109957,negative,Deprotonated,Al-organic_hybrid,High
[CH26OAl5+H]+,190.113336,positive,Protonated,Al-organic_hybrid,High
CH27OAl5+,190.113336,positive,Molecular ion,Al-organic_hybrid,High
[CH28OAl5-H]+,190.113336,positive,Hydrogen loss,Al-organic_hybrid,High
[C8H18O3Al+H]+,190.11441,positive,Protonated,Al-organic_hybrid,High
C8H19O3Al+,190.11441,positive,Molecular ion,Al-organic_hybrid,High
[C8H20O3Al-H]+,190.11441,positive,Hydrogen loss,Al-organic_hybrid,High
CH27OAl5-,190.11443400000002,negative,Molecular anion,Al-organic_hybrid,High
[CH28OAl5-H]-,190.11443400000002,negative,Deprotonated,Al-organic_hybrid,High
[H23O7Al2+H]+,190.114734,positive,Protonated,Aluminum_oxide,High
